Beginnjahr;Beginnmonat;ZahlweiseInkasso;GeschlechtVP1;RauchertypVP1;x;n;t;Leistung;tba
2017;10;JAEHRLICH;WEIBLICH;RAUCHEN;52;11;5;842169.61;28843.02
2019;5;JAEHRLICH;WEIBLICH;NICHTRAUCHEN;25;21;18;876239.71;3081.08
2019;4;MONATLICH;MAENNLICH;NICHTRAUCHEN;38;13;7;951376.04;6902.94
2018;2;VIERTELJAEHRLICH;WEIBLICH;NICHTRAUCHEN;26;28;12;494439.91;3777.64
2018;5;JAEHRLICH;MAENNLICH;RAUCHEN;41;17;15;589434.98;5794.38
2017;8;MONATLICH;MAENNLICH;NICHTRAUCHEN;24;35;11;886511.77;9869.04
2017;11;HALBJAEHRLICH;MAENNLICH;RAUCHEN;50;4;1;427867.15;16638.1
2017;11;MONATLICH;WEIBLICH;NICHTRAUCHEN;58;6;6;252369.26;2942.84
2018;3;VIERTELJAEHRLICH;WEIBLICH;RAUCHEN;32;22;3;466636.93;16388.88
2018;5;VIERTELJAEHRLICH;WEIBLICH;RAUCHEN;39;21;8;814114.57;17307.7
2019;5;HALBJAEHRLICH;MAENNLICH;NICHTRAUCHEN;32;18;8;325189.76;2386.4
2017;2;HALBJAEHRLICH;MAENNLICH;NICHTRAUCHEN;28;9;2;368167.75;4118.39
2018;1;VIERTELJAEHRLICH;WEIBLICH;NICHTRAUCHEN;36;17;4;331700.57;5199.1
2017;1;HALBJAEHRLICH;MAENNLICH;NICHTRAUCHEN;30;7;6;335885.61;1081.31
2019;6;VIERTELJAEHRLICH;WEIBLICH;RAUCHEN;21;21;12;156462.07;841.85
2018;1;JAEHRLICH;MAENNLICH;RAUCHEN;25;17;4;111374.4;1378.32
2018;6;MONATLICH;MAENNLICH;RAUCHEN;45;20;11;543200.46;13274.03
2018;9;JAEHRLICH;MAENNLICH;NICHTRAUCHEN;22;1;1;652085.52;1826.42
2018;12;VIERTELJAEHRLICH;WEIBLICH;NICHTRAUCHEN;21;9;8;507092.44;1576.45
2019;10;VIERTELJAEHRLICH;MAENNLICH;NICHTRAUCHEN;28;37;1;690793.57;103412.49
2018;5;MONATLICH;MAENNLICH;NICHTRAUCHEN;19;44;37;436522.26;2337.7
2017;3;HALBJAEHRLICH;MAENNLICH;RAUCHEN;53;6;4;252938.69;5348.32
2017;12;VIERTELJAEHRLICH;WEIBLICH;RAUCHEN;46;5;3;337093.08;4234.21
2019;8;HALBJAEHRLICH;WEIBLICH;RAUCHEN;51;12;6;39991.9;1212.82
2017;9;JAEHRLICH;WEIBLICH;NICHTRAUCHEN;57;7;2;694465.12;24832.2
2017;10;HALBJAEHRLICH;WEIBLICH;RAUCHEN;56;5;3;155665.75;4571.43
2018;11;VIERTELJAEHRLICH;MAENNLICH;RAUCHEN;26;4;2;402846.18;2231.47
2019;8;MONATLICH;WEIBLICH;NICHTRAUCHEN;19;33;2;553719.7;23674.43
2019;7;HALBJAEHRLICH;MAENNLICH;NICHTRAUCHEN;43;18;5;278004.6;5670.23
2017;2;MONATLICH;WEIBLICH;NICHTRAUCHEN;41;25;7;274986.98;6336.74
2018;5;HALBJAEHRLICH;MAENNLICH;NICHTRAUCHEN;51;12;3;231257.12;7274.06
2019;3;JAEHRLICH;WEIBLICH;NICHTRAUCHEN;45;8;3;363559.88;4671.12
2018;11;HALBJAEHRLICH;MAENNLICH;NICHTRAUCHEN;21;23;22;234824.43;736.12
2017;9;MONATLICH;MAENNLICH;NICHTRAUCHEN;30;5;4;185927.58;635.02
2017;11;VIERTELJAEHRLICH;MAENNLICH;NICHTRAUCHEN;60;6;1;149982.53;11556.91
2019;4;VIERTELJAEHRLICH;MAENNLICH;RAUCHEN;32;23;2;450153.58;25448
2017;8;JAEHRLICH;WEIBLICH;NICHTRAUCHEN;21;9;7;508430.21;1748.92
2017;6;MONATLICH;WEIBLICH;RAUCHEN;28;8;1;674146.94;15227.87
2017;6;MONATLICH;WEIBLICH;NICHTRAUCHEN;58;7;3;817985.76;22053.47
2018;8;JAEHRLICH;WEIBLICH;RAUCHEN;23;27;22;48169.63;237.36
2019;1;JAEHRLICH;WEIBLICH;RAUCHEN;41;4;4;361272.78;1789.85
2018;3;HALBJAEHRLICH;WEIBLICH;RAUCHEN;30;3;3;431988.47;1318.16
2018;6;JAEHRLICH;WEIBLICH;RAUCHEN;49;7;5;72651.32;1055.34
2017;3;JAEHRLICH;MAENNLICH;RAUCHEN;51;11;2;138702.54;10413.97
2017;12;HALBJAEHRLICH;WEIBLICH;NICHTRAUCHEN;60;2;2;377411.93;4244.94
2019;1;MONATLICH;WEIBLICH;RAUCHEN;41;1;1;836165.98;3806.4
2019;1;MONATLICH;MAENNLICH;RAUCHEN;44;18;10;658192.69;13213.33
2018;5;HALBJAEHRLICH;WEIBLICH;NICHTRAUCHEN;27;25;15;3739.94;20.53
2017;6;MONATLICH;WEIBLICH;RAUCHEN;22;2;1;79680.25;456.73
2018;10;HALBJAEHRLICH;MAENNLICH;RAUCHEN;40;21;7;713727.69;18443.13
2018;7;VIERTELJAEHRLICH;MAENNLICH;RAUCHEN;55;1;1;455928.62;6290.13
2017;4;VIERTELJAEHRLICH;MAENNLICH;NICHTRAUCHEN;38;23;3;208512.54;7592.48
2019;10;JAEHRLICH;MAENNLICH;RAUCHEN;42;18;10;46758.45;774.85
2019;12;MONATLICH;WEIBLICH;RAUCHEN;45;18;9;414779.6;9964.98
2017;2;HALBJAEHRLICH;WEIBLICH;NICHTRAUCHEN;47;3;3;262142.06;1315.31
2019;8;VIERTELJAEHRLICH;MAENNLICH;NICHTRAUCHEN;45;11;11;385891.48;2244.33
2019;2;HALBJAEHRLICH;MAENNLICH;RAUCHEN;38;12;4;270658.35;4162.71
2019;4;MONATLICH;MAENNLICH;NICHTRAUCHEN;51;6;4;114821;1189.4
2017;11;VIERTELJAEHRLICH;WEIBLICH;NICHTRAUCHEN;32;30;9;80837.61;1183.35
2019;4;VIERTELJAEHRLICH;MAENNLICH;NICHTRAUCHEN;25;5;1;257609.79;3199.7
2018;6;HALBJAEHRLICH;MAENNLICH;RAUCHEN;25;28;15;596186.88;4776.29
2019;7;VIERTELJAEHRLICH;MAENNLICH;NICHTRAUCHEN;35;19;5;350082.61;4942.33
2017;1;HALBJAEHRLICH;WEIBLICH;RAUCHEN;51;3;3;353817.27;3759.17
2018;4;JAEHRLICH;WEIBLICH;NICHTRAUCHEN;46;3;3;105584.95;495.6
2019;11;JAEHRLICH;MAENNLICH;NICHTRAUCHEN;35;4;3;636126.87;2437.92
2019;1;MONATLICH;MAENNLICH;NICHTRAUCHEN;41;23;2;246453.85;16164.76
2019;12;HALBJAEHRLICH;MAENNLICH;NICHTRAUCHEN;55;8;7;884683.16;9907.94
2017;3;HALBJAEHRLICH;MAENNLICH;NICHTRAUCHEN;19;30;5;502215.67;7646.35
2019;12;HALBJAEHRLICH;WEIBLICH;RAUCHEN;39;4;1;407186.82;6730.33
2017;4;VIERTELJAEHRLICH;MAENNLICH;RAUCHEN;42;20;15;143438.82;2059.83
2019;7;MONATLICH;MAENNLICH;NICHTRAUCHEN;49;17;5;951028.51;27165.06
2019;10;HALBJAEHRLICH;MAENNLICH;RAUCHEN;51;13;2;313350.6;30523.68
2017;11;MONATLICH;MAENNLICH;RAUCHEN;40;26;19;803252.22;13723.49
2018;4;HALBJAEHRLICH;WEIBLICH;RAUCHEN;50;16;10;114115.99;3175.13
2017;6;VIERTELJAEHRLICH;WEIBLICH;RAUCHEN;51;5;1;383360.8;21128.3
2017;11;MONATLICH;MAENNLICH;RAUCHEN;45;20;10;611539.6;16235.98
2017;6;MONATLICH;MAENNLICH;RAUCHEN;27;37;6;943728.49;37124.65
2017;3;VIERTELJAEHRLICH;MAENNLICH;NICHTRAUCHEN;55;1;1;116027.13;892
2019;3;HALBJAEHRLICH;MAENNLICH;NICHTRAUCHEN;24;21;8;659951.42;4597.83
2019;12;JAEHRLICH;MAENNLICH;NICHTRAUCHEN;51;11;8;376766.74;4170.09
2019;11;HALBJAEHRLICH;WEIBLICH;NICHTRAUCHEN;20;33;14;162333.51;1140.09
2017;7;HALBJAEHRLICH;MAENNLICH;NICHTRAUCHEN;54;6;5;676126.77;6835.32
2019;12;HALBJAEHRLICH;MAENNLICH;NICHTRAUCHEN;42;4;1;647955.53;9392.67
2018;8;HALBJAEHRLICH;WEIBLICH;NICHTRAUCHEN;21;10;7;58042.22;220.6
2017;6;VIERTELJAEHRLICH;WEIBLICH;NICHTRAUCHEN;26;6;2;805555.14;6067.62
2019;3;MONATLICH;MAENNLICH;RAUCHEN;57;3;1;624414.21;33161.94
2018;1;HALBJAEHRLICH;MAENNLICH;RAUCHEN;42;13;3;629555;19396.35
2018;1;VIERTELJAEHRLICH;WEIBLICH;RAUCHEN;18;13;2;601751.44;10101.2
2018;3;JAEHRLICH;MAENNLICH;RAUCHEN;29;10;8;174465.32;702.39
2017;10;MONATLICH;WEIBLICH;RAUCHEN;42;7;2;448152.96;9054.24
2018;1;JAEHRLICH;MAENNLICH;NICHTRAUCHEN;43;4;1;391375.07;5957.25
2018;12;HALBJAEHRLICH;WEIBLICH;RAUCHEN;30;2;1;795220.47;4581.94
2019;12;JAEHRLICH;WEIBLICH;NICHTRAUCHEN;40;8;4;14157.71;104.15
2018;3;VIERTELJAEHRLICH;MAENNLICH;RAUCHEN;40;9;7;127946.76;926.29
2017;5;JAEHRLICH;MAENNLICH;RAUCHEN;58;8;4;582281.65;28597.66
2018;9;MONATLICH;WEIBLICH;NICHTRAUCHEN;54;11;2;412515.49;21619.28
2017;2;JAEHRLICH;WEIBLICH;RAUCHEN;48;10;5;186889.35;3953.97
2018;5;MONATLICH;MAENNLICH;RAUCHEN;56;4;1;670112.42;44747.36
2018;4;HALBJAEHRLICH;WEIBLICH;NICHTRAUCHEN;26;21;18;313775.91;1140.76
2019;5;MONATLICH;WEIBLICH;NICHTRAUCHEN;57;4;2;745783.1;14281.05
2019;8;HALBJAEHRLICH;MAENNLICH;NICHTRAUCHEN;55;7;6;862762.05;9455.67
2018;2;HALBJAEHRLICH;WEIBLICH;RAUCHEN;20;8;6;950020.66;3627.23
2018;6;MONATLICH;WEIBLICH;RAUCHEN;38;28;2;407859.44;55007.29
2018;3;JAEHRLICH;MAENNLICH;NICHTRAUCHEN;59;2;2;108644.87;1120.4
2017;11;VIERTELJAEHRLICH;MAENNLICH;RAUCHEN;27;6;1;117074.98;1909.83
2019;12;VIERTELJAEHRLICH;MAENNLICH;RAUCHEN;19;14;5;454490.97;3430.6
2019;2;MONATLICH;WEIBLICH;RAUCHEN;27;26;1;303960.08;31302.31
2018;12;MONATLICH;MAENNLICH;RAUCHEN;43;10;6;363071.09;4411.89
2019;1;MONATLICH;MAENNLICH;RAUCHEN;42;9;3;588676.88;11058.25
2019;7;JAEHRLICH;WEIBLICH;RAUCHEN;19;11;3;537698.17;5166.29
2017;12;MONATLICH;MAENNLICH;NICHTRAUCHEN;38;2;2;132364.43;419.38
2019;7;VIERTELJAEHRLICH;MAENNLICH;NICHTRAUCHEN;38;10;4;769328.48;6749
2017;10;MONATLICH;WEIBLICH;NICHTRAUCHEN;45;4;2;213565.27;1915.51
2019;3;MONATLICH;WEIBLICH;NICHTRAUCHEN;32;17;12;373676.46;1803.37
2018;8;HALBJAEHRLICH;MAENNLICH;NICHTRAUCHEN;19;43;18;68652.33;595.6
2017;7;HALBJAEHRLICH;MAENNLICH;NICHTRAUCHEN;51;8;2;837068.31;23250.28
2018;5;JAEHRLICH;MAENNLICH;RAUCHEN;52;14;2;832224.58;99324.33
2018;1;VIERTELJAEHRLICH;WEIBLICH;RAUCHEN;50;7;7;740785;8776.68
2017;12;HALBJAEHRLICH;MAENNLICH;NICHTRAUCHEN;52;5;4;49942.9;443.67
2019;3;MONATLICH;MAENNLICH;NICHTRAUCHEN;30;6;3;218895.4;1159.85
2018;3;HALBJAEHRLICH;WEIBLICH;NICHTRAUCHEN;51;12;11;871001.34;8260.71
2019;2;JAEHRLICH;WEIBLICH;RAUCHEN;51;8;3;506535.58;16703.15
2019;8;HALBJAEHRLICH;WEIBLICH;RAUCHEN;40;13;3;574664.85;15144.76
2019;2;VIERTELJAEHRLICH;MAENNLICH;RAUCHEN;38;19;5;903750.01;23067.6
2017;1;HALBJAEHRLICH;MAENNLICH;RAUCHEN;50;10;3;384433.24;15798.44
2019;9;HALBJAEHRLICH;MAENNLICH;RAUCHEN;49;7;3;700016.98;16639.54
2017;11;HALBJAEHRLICH;MAENNLICH;RAUCHEN;51;3;1;532806.53;16365.92
2018;4;MONATLICH;WEIBLICH;RAUCHEN;34;4;3;706439.27;3266.26
2018;1;MONATLICH;WEIBLICH;RAUCHEN;41;16;10;265435.26;3425.99
2018;9;JAEHRLICH;MAENNLICH;RAUCHEN;46;15;3;430120.2;22639.14
2017;4;MONATLICH;WEIBLICH;NICHTRAUCHEN;40;10;7;754009.71;4401.47
2019;12;VIERTELJAEHRLICH;MAENNLICH;NICHTRAUCHEN;53;3;3;441898.33;3197.07
2019;12;VIERTELJAEHRLICH;MAENNLICH;NICHTRAUCHEN;50;3;1;91899.92;1583.69
2018;9;VIERTELJAEHRLICH;MAENNLICH;RAUCHEN;30;3;3;876209.48;2692.61
2018;2;MONATLICH;MAENNLICH;RAUCHEN;21;18;3;214191.05;3487.46
2019;3;HALBJAEHRLICH;MAENNLICH;RAUCHEN;23;24;13;634801.85;4025.89
2017;10;HALBJAEHRLICH;MAENNLICH;NICHTRAUCHEN;52;8;6;446532.4;4665
2017;10;VIERTELJAEHRLICH;MAENNLICH;RAUCHEN;43;17;12;881404.22;12522.13
2017;7;MONATLICH;MAENNLICH;RAUCHEN;48;10;6;573199.57;10502.79
2019;10;MONATLICH;WEIBLICH;RAUCHEN;51;8;7;833484.04;12820.62
2018;1;MONATLICH;MAENNLICH;NICHTRAUCHEN;21;20;13;50050.94;210.66
2019;5;VIERTELJAEHRLICH;WEIBLICH;NICHTRAUCHEN;44;22;10;245836.11;3967.07
2018;10;VIERTELJAEHRLICH;WEIBLICH;RAUCHEN;21;38;10;528817.74;9266.75
2017;10;MONATLICH;WEIBLICH;NICHTRAUCHEN;45;8;4;430779.55;4309.43
2019;5;HALBJAEHRLICH;WEIBLICH;RAUCHEN;54;2;2;392435.68;5152.37
2018;2;HALBJAEHRLICH;WEIBLICH;RAUCHEN;31;23;4;947047.79;25385.22
2019;6;HALBJAEHRLICH;WEIBLICH;RAUCHEN;28;37;23;182253.92;2333.03
2017;5;VIERTELJAEHRLICH;WEIBLICH;NICHTRAUCHEN;54;5;5;782874.66;6501.4
2019;12;HALBJAEHRLICH;MAENNLICH;RAUCHEN;25;39;14;569342.57;10166.54
2018;8;HALBJAEHRLICH;WEIBLICH;NICHTRAUCHEN;46;13;5;866983.87;13468.65
2018;12;VIERTELJAEHRLICH;WEIBLICH;RAUCHEN;54;2;1;30561.03;792.16
2018;4;MONATLICH;MAENNLICH;RAUCHEN;40;26;5;627867.79;34906.52
2018;7;MONATLICH;WEIBLICH;NICHTRAUCHEN;52;2;2;257910.29;1702.64
2017;5;JAEHRLICH;WEIBLICH;NICHTRAUCHEN;50;2;1;623202.22;6924.64
2017;3;HALBJAEHRLICH;WEIBLICH;NICHTRAUCHEN;28;4;2;573136.39;2930.43
2019;5;VIERTELJAEHRLICH;MAENNLICH;NICHTRAUCHEN;24;4;1;206143.99;2091.16
2018;8;VIERTELJAEHRLICH;MAENNLICH;NICHTRAUCHEN;18;31;13;157417.04;1033.25
2019;9;JAEHRLICH;MAENNLICH;NICHTRAUCHEN;38;23;13;822046.89;7544.8
2019;2;JAEHRLICH;MAENNLICH;NICHTRAUCHEN;21;15;11;20596.31;74.63
2017;3;JAEHRLICH;MAENNLICH;NICHTRAUCHEN;31;23;12;309823.65;2121.93
2019;9;JAEHRLICH;MAENNLICH;NICHTRAUCHEN;24;20;4;688555.95;8564.09
2019;10;MONATLICH;MAENNLICH;RAUCHEN;43;23;23;304997.62;4615.05
2017;8;MONATLICH;MAENNLICH;RAUCHEN;60;6;6;493858.23;14978.2
2019;5;VIERTELJAEHRLICH;WEIBLICH;NICHTRAUCHEN;57;9;5;706404.22;14888.63
2018;11;MONATLICH;MAENNLICH;NICHTRAUCHEN;45;15;6;412738.26;6262.45
2018;4;VIERTELJAEHRLICH;MAENNLICH;NICHTRAUCHEN;36;5;5;110379.49;345.29
2019;6;VIERTELJAEHRLICH;MAENNLICH;NICHTRAUCHEN;57;6;4;605305.5;9411.85
2019;1;JAEHRLICH;MAENNLICH;RAUCHEN;39;9;9;573363.18;3034.32
2019;5;VIERTELJAEHRLICH;WEIBLICH;NICHTRAUCHEN;39;24;1;145278.23;17760.78
2017;2;JAEHRLICH;WEIBLICH;NICHTRAUCHEN;38;13;13;269300.46;1109.25
2018;6;HALBJAEHRLICH;MAENNLICH;NICHTRAUCHEN;42;21;19;35811.76;267.84
2019;8;MONATLICH;WEIBLICH;NICHTRAUCHEN;19;28;15;427243.42;2240.74
2018;4;HALBJAEHRLICH;MAENNLICH;NICHTRAUCHEN;23;33;2;741220.04;35479.31
2018;6;MONATLICH;MAENNLICH;RAUCHEN;53;3;1;588489.68;21787.15
2018;5;MONATLICH;MAENNLICH;NICHTRAUCHEN;57;3;2;872352.49;12238.6
2017;4;MONATLICH;MAENNLICH;NICHTRAUCHEN;21;12;1;506601.83;14621.74
2017;8;JAEHRLICH;MAENNLICH;NICHTRAUCHEN;47;10;8;367901.34;2794.51
2017;9;JAEHRLICH;WEIBLICH;RAUCHEN;26;39;9;600724.95;16998.91
2019;4;JAEHRLICH;MAENNLICH;NICHTRAUCHEN;48;14;11;763553.74;7211.71
2019;6;JAEHRLICH;WEIBLICH;NICHTRAUCHEN;54;11;2;653563.51;33432.39
2019;7;HALBJAEHRLICH;WEIBLICH;RAUCHEN;22;43;33;865686.97;8356.83
2019;11;HALBJAEHRLICH;WEIBLICH;NICHTRAUCHEN;46;5;5;473993.82;2387.63
2017;8;JAEHRLICH;WEIBLICH;NICHTRAUCHEN;50;7;1;663881.89;28809.63
2017;11;JAEHRLICH;WEIBLICH;RAUCHEN;20;8;3;911550;6544.79
2019;7;JAEHRLICH;MAENNLICH;RAUCHEN;59;6;3;114465.36;5628.3
2017;10;HALBJAEHRLICH;MAENNLICH;NICHTRAUCHEN;34;24;16;93328.59;622.33
2018;10;JAEHRLICH;WEIBLICH;RAUCHEN;43;18;11;777376.29;12871.77
2018;12;HALBJAEHRLICH;MAENNLICH;RAUCHEN;37;22;11;64810.61;958.38
2019;8;VIERTELJAEHRLICH;WEIBLICH;RAUCHEN;35;11;5;636512.41;5822.01
2018;10;JAEHRLICH;MAENNLICH;RAUCHEN;29;19;4;761940.74;13028.55
2019;5;JAEHRLICH;WEIBLICH;NICHTRAUCHEN;49;13;6;28019.72;440.66
2018;5;MONATLICH;MAENNLICH;NICHTRAUCHEN;42;18;10;982992.67;10101.37
2018;8;HALBJAEHRLICH;MAENNLICH;RAUCHEN;41;21;7;161473.91;4526.37
2019;1;MONATLICH;MAENNLICH;RAUCHEN;55;5;5;180043.31;3040.19
2017;7;MONATLICH;MAENNLICH;RAUCHEN;33;1;1;788786.55;2557.86
2017;10;JAEHRLICH;MAENNLICH;RAUCHEN;56;6;3;833614.44;30118.69
2018;5;MONATLICH;WEIBLICH;RAUCHEN;23;26;19;931603.06;4953.3
2019;1;HALBJAEHRLICH;WEIBLICH;NICHTRAUCHEN;47;15;11;451135.05;4436.94
2018;10;MONATLICH;MAENNLICH;NICHTRAUCHEN;40;11;6;31999.29;241.21
2019;7;MONATLICH;MAENNLICH;RAUCHEN;59;1;1;635251.09;12797.21
2019;7;VIERTELJAEHRLICH;WEIBLICH;NICHTRAUCHEN;34;1;1;986398.73;2790.65
2019;1;MONATLICH;MAENNLICH;NICHTRAUCHEN;28;14;14;168500.14;507.26
2019;9;VIERTELJAEHRLICH;WEIBLICH;NICHTRAUCHEN;48;13;11;122256.57;1062.21
2019;5;HALBJAEHRLICH;WEIBLICH;RAUCHEN;57;2;1;257076.86;8661.11
2019;1;VIERTELJAEHRLICH;WEIBLICH;RAUCHEN;38;1;1;950603.61;3680.01
2019;3;VIERTELJAEHRLICH;WEIBLICH;NICHTRAUCHEN;21;20;16;249053.59;876.44
2017;7;VIERTELJAEHRLICH;WEIBLICH;RAUCHEN;35;7;7;248507.8;982.25
2018;11;JAEHRLICH;MAENNLICH;NICHTRAUCHEN;46;7;3;250346.59;2923.27
2017;12;HALBJAEHRLICH;WEIBLICH;RAUCHEN;39;9;6;843558.75;6487.04
2017;10;HALBJAEHRLICH;WEIBLICH;RAUCHEN;21;14;6;48889.37;313.48
2017;5;MONATLICH;WEIBLICH;RAUCHEN;18;20;12;456122.56;2221.98
2019;6;HALBJAEHRLICH;WEIBLICH;RAUCHEN;28;27;17;767453.93;6159.93
2018;6;JAEHRLICH;WEIBLICH;RAUCHEN;45;8;8;779201.23;6273.4
2018;9;MONATLICH;WEIBLICH;RAUCHEN;49;11;2;424586.02;27483.03
2018;12;VIERTELJAEHRLICH;MAENNLICH;NICHTRAUCHEN;25;17;7;579999.44;3693.46
2017;9;HALBJAEHRLICH;WEIBLICH;NICHTRAUCHEN;23;25;21;785260.45;2915.9
2018;11;MONATLICH;WEIBLICH;NICHTRAUCHEN;51;7;3;186804.26;3036.03
2018;10;VIERTELJAEHRLICH;MAENNLICH;RAUCHEN;51;5;5;235446.97;2764.86
2019;3;VIERTELJAEHRLICH;WEIBLICH;RAUCHEN;41;24;23;60400.87;821.35
2018;8;MONATLICH;MAENNLICH;RAUCHEN;51;4;2;894915.44;19537.22
2018;6;JAEHRLICH;MAENNLICH;NICHTRAUCHEN;43;6;5;833998.52;4262.09
2018;11;HALBJAEHRLICH;WEIBLICH;RAUCHEN;45;17;13;39649.16;619.49
2017;10;VIERTELJAEHRLICH;MAENNLICH;RAUCHEN;55;4;4;716402.34;11415.06
2019;3;MONATLICH;WEIBLICH;NICHTRAUCHEN;36;27;7;808884.03;15537.78
2019;7;VIERTELJAEHRLICH;WEIBLICH;RAUCHEN;34;23;22;121687.83;889.18
2018;4;MONATLICH;MAENNLICH;RAUCHEN;53;13;7;295926.96;10882.74
2019;6;HALBJAEHRLICH;MAENNLICH;NICHTRAUCHEN;50;2;1;725283.16;8134.46
2018;3;VIERTELJAEHRLICH;MAENNLICH;NICHTRAUCHEN;45;13;9;496162.82;4255.73
2019;6;HALBJAEHRLICH;WEIBLICH;RAUCHEN;56;9;1;522390.09;94316.19
2017;4;JAEHRLICH;MAENNLICH;NICHTRAUCHEN;29;14;10;202579.73;808.69
2018;12;MONATLICH;MAENNLICH;NICHTRAUCHEN;56;4;3;919036.85;11123.41
2018;12;VIERTELJAEHRLICH;WEIBLICH;NICHTRAUCHEN;55;10;2;655905.76;32385.92
2019;9;JAEHRLICH;MAENNLICH;RAUCHEN;25;26;11;21468.25;195.13
2019;11;VIERTELJAEHRLICH;MAENNLICH;RAUCHEN;50;6;1;259139.46;16296.19
2018;7;HALBJAEHRLICH;WEIBLICH;NICHTRAUCHEN;33;27;19;450142.52;3000.41
2019;6;JAEHRLICH;MAENNLICH;RAUCHEN;19;43;37;372471.73;2705.6
2019;4;HALBJAEHRLICH;MAENNLICH;NICHTRAUCHEN;52;9;4;575893.59;10137.69
2018;6;MONATLICH;MAENNLICH;NICHTRAUCHEN;53;9;1;418406.55;30771.53
2019;6;JAEHRLICH;WEIBLICH;NICHTRAUCHEN;33;26;16;723348.9;5165.94
2019;5;VIERTELJAEHRLICH;MAENNLICH;NICHTRAUCHEN;41;8;3;89753.27;930.04
2019;8;MONATLICH;MAENNLICH;RAUCHEN;33;25;18;27434.99;256.95
2018;9;MONATLICH;WEIBLICH;NICHTRAUCHEN;44;4;2;873538.04;7379.26
2018;1;MONATLICH;WEIBLICH;RAUCHEN;55;10;3;277711.66;18394.88
2017;4;JAEHRLICH;WEIBLICH;NICHTRAUCHEN;49;7;7;69612.12;442.13
2019;7;MONATLICH;MAENNLICH;RAUCHEN;26;11;5;190185.21;1224.75
2017;7;HALBJAEHRLICH;MAENNLICH;RAUCHEN;55;4;2;99630.36;3039.22
2017;4;MONATLICH;MAENNLICH;NICHTRAUCHEN;59;4;2;643613.87;14335.94
2018;12;VIERTELJAEHRLICH;WEIBLICH;RAUCHEN;51;3;3;90785.76;972.29
2018;12;MONATLICH;MAENNLICH;NICHTRAUCHEN;59;6;6;217564.27;2767.24
2017;1;VIERTELJAEHRLICH;WEIBLICH;RAUCHEN;43;15;11;612661.47;7678.49
2017;9;HALBJAEHRLICH;WEIBLICH;NICHTRAUCHEN;47;2;1;433666.72;4092.05
2019;8;VIERTELJAEHRLICH;MAENNLICH;RAUCHEN;48;17;8;109986.89;3451.24
2019;10;VIERTELJAEHRLICH;WEIBLICH;RAUCHEN;52;10;10;133557.27;2200.99
2018;10;VIERTELJAEHRLICH;MAENNLICH;NICHTRAUCHEN;34;7;5;867039.7;3587.04
2017;4;HALBJAEHRLICH;WEIBLICH;NICHTRAUCHEN;19;33;7;119349.06;1517.08
2017;10;VIERTELJAEHRLICH;WEIBLICH;NICHTRAUCHEN;46;17;14;630689.21;5714.76
2018;9;JAEHRLICH;WEIBLICH;RAUCHEN;23;39;37;956200.45;6974.01
2019;3;MONATLICH;MAENNLICH;RAUCHEN;25;38;17;401561.47;5741.72
2019;12;HALBJAEHRLICH;MAENNLICH;RAUCHEN;29;34;13;212563.21;3784.95
2018;11;JAEHRLICH;MAENNLICH;NICHTRAUCHEN;29;36;21;198900.48;1681.77
2019;4;JAEHRLICH;MAENNLICH;RAUCHEN;45;20;9;933366.9;26531.84
2017;1;VIERTELJAEHRLICH;WEIBLICH;NICHTRAUCHEN;56;7;1;57814.93;3839.39
2019;5;MONATLICH;WEIBLICH;RAUCHEN;50;11;8;812651.34;15561.02
2017;12;JAEHRLICH;WEIBLICH;NICHTRAUCHEN;21;33;22;167102.11;825.61
2019;5;JAEHRLICH;MAENNLICH;RAUCHEN;58;8;1;494743;92315.5
2017;5;HALBJAEHRLICH;WEIBLICH;NICHTRAUCHEN;20;29;13;880613.56;5494.31
2018;3;HALBJAEHRLICH;MAENNLICH;NICHTRAUCHEN;43;6;3;164642.1;1367.47
2017;4;HALBJAEHRLICH;MAENNLICH;RAUCHEN;23;19;2;512645.05;13551.88
2019;7;HALBJAEHRLICH;MAENNLICH;NICHTRAUCHEN;56;3;1;304190.41;7699.96
2018;1;HALBJAEHRLICH;WEIBLICH;NICHTRAUCHEN;30;12;9;962522.22;3690.91
2019;2;HALBJAEHRLICH;MAENNLICH;NICHTRAUCHEN;45;3;1;522613.31;6660.15
2017;7;HALBJAEHRLICH;MAENNLICH;NICHTRAUCHEN;35;6;2;914464.63;7779.14
2019;8;MONATLICH;WEIBLICH;RAUCHEN;27;39;26;59554.28;755.74
2018;11;VIERTELJAEHRLICH;WEIBLICH;RAUCHEN;20;34;18;492095.3;3839.26
2019;4;JAEHRLICH;WEIBLICH;RAUCHEN;28;37;9;573817.16;16305.81
2017;5;HALBJAEHRLICH;WEIBLICH;RAUCHEN;35;11;6;350736.48;2689.71
2017;3;HALBJAEHRLICH;MAENNLICH;NICHTRAUCHEN;34;12;7;899184.77;4863.15
2019;7;MONATLICH;WEIBLICH;RAUCHEN;24;23;10;715472.81;5649.52
2019;7;VIERTELJAEHRLICH;MAENNLICH;RAUCHEN;58;6;2;425531.51;28294.74
2017;4;MONATLICH;MAENNLICH;RAUCHEN;46;2;2;909352.69;6261.58
2017;12;HALBJAEHRLICH;WEIBLICH;NICHTRAUCHEN;43;3;2;888729.36;5158.44
2018;12;JAEHRLICH;WEIBLICH;NICHTRAUCHEN;57;8;3;633556.87;18157.1
